856 1708
-1.68547E+01 6.58948E-01 -5.77146E-01
-1.73862E+01 -5.23681E-01 -4.01624E-01
-1.68786E+01 6.20420E-01 1.38604E+00
-1.72922E+01 -3.77168E-01 1.23116E+00
-1.75781E+01 -1.47050E+00 -5.50573E-01
-1.72624E+01 -1.56933E+00 1.65960E+00
-1.73375E+01 -2.34924E+00 -5.50573E-01
-1.66529E+01 -3.19464E+00 -5.50573E-01
-1.61514E+01 -3.31899E+00 5.10117E-01
-1.65335E+01 -2.74990E+00 1.69155E+00
-9.31327E+00 -4.83237E-01 4.92674E+00
-9.31290E+00 -1.90137E+00 3.91446E+00
-7.78006E+00 -1.87351E+00 3.88857E+00
-7.77493E+00 -4.79999E-01 4.92720E+00
-1.00827E+01 -1.28597E+00 4.39504E+00
-8.53634E+00 -2.36162E+00 3.27987E+00
-7.01120E+00 -1.26964E+00 4.36216E+00
-8.54648E+00 5.26405E-02 5.14684E+00
-1.15578E+01 -1.32095E+00 4.32479E+00
-1.00793E+01 7.16092E-02 5.12921E+00
-1.08598E+01 6.96353E-01 5.14608E+00
-1.17298E+01 7.19542E-01 4.99931E+00
-1.23583E+01 -4.89276E-01 4.64046E+00
-1.08457E+01 -1.91561E+00 3.92770E+00
-1.37217E+01 1.57208E+00 4.05790E+00
-1.45402E+01 4.98986E-01 4.14582E+00
-1.37965E+01 -3.38670E-01 4.45412E+00
-1.31450E+01 2.24438E+00 3.91818E+00
-1.23859E+01 1.82592E+00 4.55621E+00
-6.24514E+00 -4.85456E-01 4.95455E+00
-4.71439E+00 -1.82589E+00 3.84430E+00
-4.71439E+00 -7.45688E-01 4.87266E+00
-5.29903E+00 -2.01133E-01 5.14169E+00
1.15226E+01 -2.78467E-01 3.59523E+00
1.29990E+01 -2.58782E+00 3.65112E+00
1.21510E+01 -2.58487E+00 4.47055E+00
1.13264E+01 -1.43785E+00 4.43233E+00
1.13800E+01 -7.09994E+00 3.55991E+00
1.21468E+01 -7.43620E+00 2.96166E+00
1.27479E+01 -7.56762E+00 2.28687E+00
1.36579E+01 -6.92470E+00 2.48409E+00
1.36309E+01 -5.80047E+00 3.47963E+00
1.26214E+01 -5.66149E+00 4.40116E+00
1.21468E+01 -6.50969E+00 4.13284E+00
-9.35906E+00 -3.54126E+00 1.44567E+00
-8.55696E+00 -3.64946E+00 4.65830E-01
-7.01339E+00 -3.59038E+00 4.68812E-01
-8.54648E+00 -3.21217E+00 2.08428E+00
-7.78043E+00 -3.53434E+00 -5.58252E-01
-7.01639E+00 -3.32711E+00 -1.60550E+00
-5.48100E+00 -3.37523E+00 -1.60333E+00
-4.64285E+00 -3.61283E+00 -5.52072E-01
-5.47999E+00 -3.53888E+00 4.72703E-01
-1.00796E+01 -3.28556E+00 -1.47084E+00
-8.55420E+00 -3.31323E+00 -1.47484E+00
-9.43375E+00 -3.59142E+00 -5.12132E-01
-1.08457E+01 -3.09960E+00 -2.06466E+00
-1.00786E+01 -2.73486E+00 -2.66689E+00
-8.61437E+00 -2.87193E+00 -2.63015E+00
-1.08536E+01 -2.93300E+00 2.57887E+00
-9.31871E+00 -2.95725E+00 2.58808E+00
-1.16302E+01 -2.34762E+00 3.27053E+00
-1.00793E+01 -3.25027E+00 2.11969E+00
1.38879E+01 -4.75051E+00 3.26056E+00
1.35596E+01 -3.55980E+00 3.39947E+00
1.33157E+01 -4.75051E+00 4.04764E+00
1.27175E+01 -3.82177E+00 4.42230E+00
1.43636E+01 -4.75051E+00 2.49787E+00
1.23576E+01 -4.72535E+00 4.81019E+00
-1.34052E+01 4.20049E+00 -6.30129E-01
-1.26907E+01 4.14896E+00 -1.72474E+00
-1.14667E+01 4.83058E+00 -1.50594E+00
-1.49754E+01 3.17813E+00 6.05040E-01
-1.39642E+01 4.05664E+00 4.55286E-01
-1.52227E+01 2.76335E+00 -3.77401E-01
-1.45929E+01 2.85220E+00 -1.51410E+00
-1.37769E+01 3.61570E+00 -1.39149E+00
8.47078E+00 -5.64988E+00 4.35824E+00
1.06140E+01 -6.56770E+00 4.18676E+00
1.06140E+01 -5.40707E+00 5.14037E+00
9.84814E+00 -4.66276E+00 5.41970E+00
9.08116E+00 -5.24080E+00 4.98584E+00
9.08116E+00 -6.37325E+00 4.00604E+00
9.82416E+00 -6.98495E+00 3.52489E+00
1.13707E+01 -6.05294E+00 4.70693E+00
-9.88914E+00 4.64455E+00 2.33647E+00
-1.16122E+01 3.57041E+00 3.11831E+00
-9.31290E+00 4.39067E+00 2.86451E+00
-1.10271E+01 3.35830E+00 3.69686E+00
-1.56185E+00 4.19507E+00 4.81548E+00
-1.48384E+00 5.51355E+00 3.68953E+00
-5.27096E-02 4.12355E+00 4.55984E+00
-2.41248E+00 4.89460E+00 4.38042E+00
-3.97653E-01 4.94352E+00 3.34735E+00
-8.82290E-01 3.56696E+00 5.14739E+00
-7.18219E+00 6.62497E+00 1.66917E+00
-7.58017E+00 5.94881E+00 2.26605E+00
-6.19703E+00 7.06803E+00 1.34295E+00
-5.48081E+00 6.81189E+00 2.06636E+00
-4.77649E+00 7.42911E+00 1.54942E+00
-3.18155E+00 7.70261E+00 1.87804E+00
-3.18155E+00 6.70446E+00 2.98266E+00
-3.77238E+00 7.92248E+00 1.29905E+00
-2.41940E+00 7.11347E+00 2.42164E+00
-1.52265E+01 2.76979E+00 1.31353E+00
-1.45356E+01 2.82951E+00 2.42034E+00
-1.39114E+01 3.48002E+00 2.01815E+00
-1.23963E+01 3.00921E+00 3.48454E+00
-1.10176E+01 2.00750E+00 4.94208E+00
-5.34134E+00 7.90435E+00 -3.03159E-01
-6.95701E+00 7.21240E+00 4.29532E-01
-5.63307E+00 7.68985E+00 6.48159E-01
-1.62258E+01 7.36118E-01 2.49021E+00
