Time [s],ECI X_1 [km],ECI Y_1 [km],ECI Z_1 [km],ECI dX_1 [km/s],ECI dY_1 [km/s],ECI dZ_1 [km/s],Beta0_1,Beta1,Beta2_1,Beta3_1,Omega1_1 [rad/s],Omega2_1 [rad/s],Omega3_1 [rad/s],ECI X_2 [km],ECI Y_2 [km],ECI Z_2 [km],ECI dX_2 [km/s],ECI dY_2 [km/s],ECI dZ_2 [km/s],Beta0_2,Beta1_2,Beta2_2,Beta3_2,Omega1_2 [rad/s],Omega2_2 [rad/s],Omega3_2 [rad/s]
9890,-27794.1148954305,32104.2166620406,-0.0098454962684246,-2.31632514368003,-2.00534472369794,-3.14092896092704e-07,0.228556580212524,0.663951274625894,0.115157340549827,-0.702616098222705,-0.00236639833554723,-4.76299906912294e-07,-0.00113223844201543,-27794.1147883952,32104.2184084175,0,-2.31632424492924,-2.00534654890628,0,0.228556580212524,0.663951274625894,0.115157340549827,-0.702616098222705,-0.00236639833554723,-4.76299906912913e-07,-0.000132238442015423
9900,-27817.270909408,32084.1548602352,-0.0098486015342552,-2.31487770156068,-2.00701544737109,-3.06958333026819e-07,0.235931973908888,0.661039978549725,0.124379734469214,-0.70135007813488,-0.00236663129380509,1.7552749592924e-06,-0.00113176763833067,-27817.2707945259,32084.1565885168,0,-2.31487678030736,-2.00701725717889,0,0.235931973908888,0.661039978549725,0.124379734469214,-0.70135007813488,-0.00236663129380509,1.75527495929178e-06,-0.000131767638330662
9910,-27840.4124429502,32064.0763564091,-0.0098516353972688,-2.31342905417256,-2.00868512653857,-2.99812423060521e-07,0.243274242745252,0.658036697083297,0.133584317099297,-0.699971841100444,-0.00236686607518039,3.97207084719785e-06,-0.00113127489882524,-27840.4123199846,32064.0780667565,0,-2.31342811064613,-2.00868692066766,0,0.243274242745252,0.658036697083297,0.133584317099297,-0.699971841100444,-0.00236686607518039,3.97207084719723e-06,-0.000131274898825234
9920,-27863.5394840083,32043.9811610115,-0.00985459774671107,-2.31197920226744,-2.01035376033021,-2.92655709566125e-07,0.250582248643939,0.654941809982918,0.142769725548672,-0.698481615840821,-0.00236710267123441,6.17376780272726e-06,-0.00113076043104809,-27863.5393527246,32043.9828535889,0,-2.3119782366997,-2.01035553850345,0,0.250582248643939,0.654941809982918,0.142769725548672,-0.698481615840821,-0.00236710267123441,6.17376780272664e-06,-0.00013076043104809
9930,-27886.6520205406,32023.8692845004,-0.00985748847727795,-2.31052814659758,-2.01202134787639,-2.85488739570892e-07,0.257854858423308,0.651755710471785,0.151934598969041,-0.696879647780756,-0.00236734107339311,8.36005018715501e-06,-0.00113022444526497,-27886.6518807068,32023.8709594749,0,-2.31052715922281,-2.01202310981763,0,0.257854858423308,0.651755710471785,0.151934598969041,-0.696879647780756,-0.00236734107339311,8.36005018715439e-06,-0.000130224445264962
9940,-27909.7500405132,32003.7407373425,-0.00986030748916236,-2.30907588791576,-2.01368788830809,-2.78312065770553e-07,0.265090943975543,0.64847880520634,0.161077578742493,-0.695166199010546,-0.0023675812729327,1.05306067074596e-05,-0.00112966715440983,-27909.7498918998,32003.7423948839,0,-2.30907487897084,-2.01368963374212,0,0.265090943975543,0.64847880520634,0.161077578742493,-0.695166199010546,-0.0023675812729327,1.0530606707459e-05,-0.00012966715440983
9950,-27932.8335318995,31983.5955300131,-0.00986305468812082,-2.30762242697527,-2.01535338075683,-2.71126248521588e-07,0.272289382443614,0.64511151424097,0.170197308669003,-0.693341548245903,-0.00236782326096532,1.26851304458768e-05,-0.00112908877403624,-27932.8333742795,31983.5971702942,0,-2.30762139669981,-2.01535510940942,0,0.272289382443614,0.64511151424097,0.170197308669003,-0.693341548245903,-0.00236782326096532,1.26851304458762e-05,-0.000129088774036234
9960,-27955.9024826807,31963.4336729961,-0.00986572998555992,-2.30616776452989,-2.01701782435469,-2.63931857810517e-07,0.279449056397389,0.64165427099108,0.179292435154123,-0.691405990785457,-0.00236806702842472,1.48233188886534e-05,-0.00112848952226845,-27955.9023158295,31963.4352961928,0,-2.30616671316634,-2.01701953595252,0,0.279449056397389,0.64165427099108,0.179292435154123,-0.691405990785457,-0.00236806702842472,1.48233188886528e-05,-0.00012848952226845
9970,-27978.9568808453,31943.2551767842,-0.00986833329864237,-2.30471190133392,-2.01868121823432,-2.56729475193449e-07,0.286568854008845,0.638107522194478,0.188361607396862,-0.689359838465914,-0.00236831256605215,1.6944873954005e-05,-0.00112786961975253,-27978.9567045411,31943.2567830751,0,-2.3047108291277,-2.018682912505,0,0.286568854008845,0.638107522194478,0.188361607396862,-0.689359838465914,-0.00236831256605215,1.69448739540044e-05,-0.000127869619752529
9980,-28001.9967143894,31923.0600518789,-0.00987086455041227,-2.30325483814215,-2.02034356152888,-2.49519695705503e-07,0.293647669226395,0.634471727871115,0.197403477577721,-0.687203419614869,-0.00236855986438233,1.9049502019277e-05,-0.00112722928960721,-28001.9965284129,31923.0616414455,0,-2.30325374534177,-2.02034523820096,0,0.293647669226395,0.634471727871115,0.197403477577721,-0.687203419614869,-0.00236855986438233,1.90495020192764e-05,-0.000127229289607208
9990,-28025.0219713169,31902.8483087901,-0.00987332366993927,-2.30179657570987,-2.02200485337209,-2.42303129732684e-07,0.300684401948258,0.630747361281133,0.206416701046871,-0.6849370790013,-0.00236880891372961,2.11369139473118e-05,-0.0011265687573747,-28025.0217754513,31902.8498818169,0,-2.30179546256705,-2.02200651217507,0,0.300684401948258,0.630747361281133,0.206416701046871,-0.6849370790013,-0.00236880891372961,2.11369139473112e-05,-0.0001265687573747
10000,-28048.0326396388,31882.6199580365,-0.0098757105924813,-2.30033711479287,-2.02366509289818,-2.3508040484629e-07,0.307677958194892,0.626934908881231,0.215399936512461,-0.682561177783745,-0.00236905970417424,2.32068251120239e-05,-0.00112588825097137,-28048.0324336702,31882.6215147107,0,-2.30033598156268,-2.02366673356253,0,0.307677958194892,0.626934908881231,0.215399936512461,-0.682561177783745,-0.00236905970417424,2.32068251120233e-05,-0.00012588825097137
10010,-28071.028707374,31862.3750101454,-0.0098780252596654,-2.29887645614743,-2.02532427924191,-2.27852167594431e-07,0.314627250280433,0.623034870279343,0.224351846229018,-0.680076093456171,-0.00236931222554879,2.52589554231841e-05,-0.0011251880006383,-28071.028491091,31862.3765506571,0,-2.29887530308841,-2.0253259014991,0,0.314627250280433,0.623034870279343,0.224351846229018,-0.680076093456171,-0.00236931222554879,2.52589554231835e-05,-0.000125188000638301
10020,-28094.0101625488,31842.113475653,-0.00988026761968629,-2.29741460053034,-2.02698241153854,-2.2061908524657e-07,0.321531196983137,0.61904775818761,0.233271096185946,-0.677482219791555,-0.00236956646742484,2.72930293504144e-05,-0.00112446823889176,-28094.0099357429,31842.1150001951,0,-2.29741342790462,-2.02698401512106,0,0.321531196983137,0.61904775818761,0.233271096185946,-0.677482219791555,-0.00236956646742484,2.72930293504137e-05,-0.000124468238891761
10030,-28116.9769931972,31821.8353651037,-0.00988243762752206,-2.29595154869887,-2.02863948892384,-2.13381847489657e-07,0.328388723714789,0.614974098373637,0.24215635629608,-0.674779966783181,-0.00236982241909979,2.93087759463963e-05,-0.00112372920047358,-28116.9767556626,31821.836873872,0,-2.29595035677232,-2.02864107356529,0,0.328388723714789,0.614974098373637,0.24215635629608,-0.674779966783181,-0.00236982241909979,2.93087759463956e-05,-0.000123729200473573
