ModelWeb Browser Results

nrlmsise model listing
Required input parameters
Year= 2021, Month=  4, Day=  1, Hour=21.00,
Time_type = Universal
Coordinate_type = Geographic
Latitude=   40.00, Longitude=   40.00, Height=   100.00
Prof. parameters: Start=     0.00 Stop=   500.00 Step=     0.50

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  Mass_density, g/cm-3
3  Temperature_neutral, K
  228.0 7.250E-14  703.0
  228.5 7.130E-14  703.1
  229.0 7.013E-14  703.2
  229.5 6.897E-14  703.3
  230.0 6.784E-14  703.4
  230.5 6.673E-14  703.5
  231.0 6.563E-14  703.6
  231.5 6.456E-14  703.7
  232.0 6.351E-14  703.7
  232.5 6.247E-14  703.8
  233.0 6.146E-14  703.9
  233.5 6.046E-14  704.0
  234.0 5.948E-14  704.1
  234.5 5.852E-14  704.2
  235.0 5.757E-14  704.2
  235.5 5.665E-14  704.3
  236.0 5.574E-14  704.4
  236.5 5.484E-14  704.5
  237.0 5.396E-14  704.5
  237.5 5.310E-14  704.6
  238.0 5.225E-14  704.7
  238.5 5.142E-14  704.8
  239.0 5.060E-14  704.8
  239.5 4.979E-14  704.9
  240.0 4.900E-14  705.0
  240.5 4.823E-14  705.0
  241.0 4.746E-14  705.1
  241.5 4.671E-14  705.1
  242.0 4.598E-14  705.2
  242.5 4.525E-14  705.3
  243.0 4.454E-14  705.3
  243.5 4.384E-14  705.4
  244.0 4.316E-14  705.4
  244.5 4.248E-14  705.5
  245.0 4.182E-14  705.5
  245.5 4.117E-14  705.6
  246.0 4.052E-14  705.6
  246.5 3.990E-14  705.7
  247.0 3.928E-14  705.7
  247.5 3.867E-14  705.8
  248.0 3.807E-14  705.8
  248.5 3.748E-14  705.9
  249.0 3.690E-14  705.9
  249.5 3.634E-14  706.0
  250.0 3.578E-14  706.0
  250.5 3.523E-14  706.1
  251.0 3.469E-14  706.1
  251.5 3.416E-14  706.1
  252.0 3.364E-14  706.2
  252.5 3.312E-14  706.2
  253.0 3.262E-14  706.3
  253.5 3.212E-14  706.3
  254.0 3.164E-14  706.3
  254.5 3.116E-14  706.4
  255.0 3.068E-14  706.4
  255.5 3.022E-14  706.4
  256.0 2.977E-14  706.5
  256.5 2.932E-14  706.5
  257.0 2.888E-14  706.5
  257.5 2.844E-14  706.6
  258.0 2.802E-14  706.6
  258.5 2.760E-14  706.6
  259.0 2.718E-14  706.7
  259.5 2.678E-14  706.7
  260.0 2.638E-14  706.7
  260.5 2.599E-14  706.8
  261.0 2.560E-14  706.8
  261.5 2.522E-14  706.8
  262.0 2.485E-14  706.8
  262.5 2.448E-14  706.9
  263.0 2.412E-14  706.9
  263.5 2.376E-14  706.9
  264.0 2.341E-14  707.0
  264.5 2.306E-14  707.0
  265.0 2.273E-14  707.0
  265.5 2.239E-14  707.0
  266.0 2.206E-14  707.0
  266.5 2.174E-14  707.1
  267.0 2.142E-14  707.1
  267.5 2.111E-14  707.1
  268.0 2.080E-14  707.1
  268.5 2.050E-14  707.2
  269.0 2.020E-14  707.2
  269.5 1.991E-14  707.2
  270.0 1.962E-14  707.2
  270.5 1.934E-14  707.2
  271.0 1.906E-14  707.3
  271.5 1.878E-14  707.3
  272.0 1.851E-14  707.3
  272.5 1.824E-14  707.3
  273.0 1.798E-14  707.3
  273.5 1.772E-14  707.4
  274.0 1.747E-14  707.4
  274.5 1.722E-14  707.4
  275.0 1.697E-14  707.4
  275.5 1.673E-14  707.4
  276.0 1.649E-14  707.4
  276.5 1.626E-14  707.5
  277.0 1.602E-14  707.5
  277.5 1.580E-14  707.5
