     Time  HgtMOLA LatPC   LonE    Denkgm3   Temp  EWind  NWind  sigD  Ls   Dust  LTST CO2%m  N2%m  Ar%m  O2%m  CO%m   O%m  He%m  H2%m   H%m H2O%m  DensP
        0.  62.50  18.44   77.45 1.132E-05  144.4  -29.4    0.1  10.3   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.027
        0.  63.00  18.44   77.45 1.064E-05  144.2  -31.2    2.9  10.4   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.966
        0.  63.50  18.44   77.45 9.990E-06  143.9  -33.0    5.7  10.6   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.001
        0.  64.00  18.44   77.45 9.385E-06  143.6  -34.7    8.5  10.7   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.039
        0.  64.50  18.44   77.45 8.816E-06  143.4  -36.5   11.3  10.9   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.048
        0.  65.00  18.44   77.45 8.297E-06  143.1  -38.3   14.1  11.0   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.036
        0.  65.50  18.44   77.45 7.774E-06  144.0  -36.9   15.9  11.2   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.986
        0.  66.00  18.44   77.45 7.285E-06  144.9  -35.5   17.7  11.4   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.973
        0.  66.50  18.44   77.45 6.827E-06  145.7  -34.0   19.5  11.5   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.978
        0.  67.00  18.44   77.45 6.398E-06  146.6  -32.6   21.3  11.7   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.974
        0.  67.50  18.44   77.45 5.996E-06  147.5  -31.2   23.1  11.9   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.980
        0.  68.00  18.44   77.45 5.619E-06  148.4  -29.7   24.9  12.0   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.982
        0.  68.50  18.44   77.45 5.267E-06  149.2  -28.3   26.7  12.2   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.969
        0.  69.00  18.44   77.45 4.936E-06  150.1  -26.9   28.5  12.4   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.996
        0.  69.50  18.44   77.45 4.627E-06  151.0  -25.4   30.3  12.6   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.025
